name,birthday,nationality
Fernanda Montenegro,1929-10-16,BRAZIL
Meryl Streep,1949-06-22,USA
Wagner Moura,1976-06-27,BRAZIL
Leonardo DiCaprio,1974-11-11,USA
Alice Braga,1983-04-15,BRAZIL
Anthony Hopkins,1937-12-31,GBR
Lázaro Ramos,1978-11-01,BRAZIL
Viola Davis,1965-08-11,USA
Selton Mello,1972-12-30,BRAZIL
Cate Blanchett,1969-05-14,AUS
Rodrigo Santoro,1975-08-22,BRAZIL
Cillian Murphy,1976-05-25,IRL
Taís Araújo,1978-11-25,BRAZIL
Penélope Cruz,1974-04-28,ESP
Marco Nanini,1948-05-31,BRAZIL
Mads Mikkelsen,1965-11-22,DNK
Marieta Severo,1946-11-02,BRAZIL
Pedro Pascal,1975-04-02,CHL
Sônia Braga,1950-06-08,BRAZIL
Javier Bardem,1969-03-01,ESP